backend,profile,attack,attack_profile,n,n_clean_correct,n_attacked_correct,n_attack_success,mean_linf,mean_l2,clean_acc_pct,attacked_acc_pct,cond_asr_pct,cond_asr_ci95_lo_pct,cond_asr_ci95_hi_pct
CPU,apgdt/eps0.03_default,apgdt,eps0.03_default,2200,1298,476,1094,0.0008623467493055736,0.011174293861228757,59.0,21.636363636363637,84.28351309707242,82.20267110658956,86.16202088051548
CPU,autoattack/eps0.03_standard,autoattack,eps0.03_standard,2200,1298,470,1114,0.0008689401772227311,0.012601254324518047,59.0,21.363636363636363,85.82434514637904,83.82092617946012,87.61633623403166
CPU,ead/package_default,ead,package_default,2200,1298,328,1298,0.0022361608110738175,0.005697057462772418,59.0,14.909090909090908,100.0,99.70491033624982,100.0
NPU,fgsm/eps0.005,fgsm,eps0.005,2200,1202,1120,179,0.00015639320481564134,0.002496710667831096,54.63636363636364,50.90909090909091,14.891846921797006,12.991164506443193,17.01622618235043
NPU,fgsm/eps0.01,fgsm,eps0.01,2200,1202,996,336,0.00031278431989692127,0.00499269842276006,54.63636363636364,45.27272727272727,27.953410981697168,25.489674729347094,30.55762037143563
NPU,fgsm/eps0.03,fgsm,eps0.03,2200,1202,661,703,0.0009383489932620986,0.014968254993542643,54.63636363636364,30.045454545454547,58.48585690515807,55.677477056731426,61.24016784787296
NPU,fgsm/eps0.05,fgsm,eps0.05,2200,1202,500,863,0.0015639149223781888,0.02492588172285728,54.63636363636364,22.727272727272727,71.79700499168054,69.18674309694353,74.26838401096184
NPU,bim/eps0.03_default,bim,eps0.03_default,2200,1202,518,841,0.0009383489427801818,0.013554221399932712,54.63636363636364,23.545454545454543,69.9667221297837,67.31496262003222,72.49126068491928
NPU,pgd/eps0.005,pgd,eps0.005,2200,1202,1109,192,0.00015639317975327463,0.002412630980781398,54.63636363636364,50.409090909090914,15.973377703826955,14.011097092111314,18.152464025700514
NPU,pgd/eps0.01,pgd,eps0.01,2200,1202,951,387,0.00031278428241912436,0.004729170780417205,54.63636363636364,43.22727272727273,32.196339434276204,29.615262913926593,34.89085463915833
NPU,pgd/eps0.03,pgd,eps0.03,2200,1202,536,827,0.0009383489170629795,0.013412595401221666,54.63636363636364,24.363636363636363,68.80199667221298,66.12639178514434,71.35780182701833
