backend,snr_db,profile,attack,attack_profile,n,n_clean_correct,n_attacked_correct,n_attack_success,mean_linf,mean_l2,clean_acc_pct,attacked_acc_pct,cond_asr_pct,cond_asr_ci95_lo_pct,cond_asr_ci95_hi_pct
CPU,4,fab/eps0.03,fab,eps0.03,110,96,39,68,0.00026083945479262187,0.003655912473167189,87.27272727272727,35.45454545454545,70.83333333333334,61.079921941430406,78.9835385800356
CPU,4,square/eps0.03_default,square,eps0.03_default,110,96,31,76,0.0006225065359930008,0.009932382074274946,87.27272727272727,28.18181818181818,79.16666666666666,69.9995683874769,86.0892763425755
CPU,4,apgd/eps0.03_default,apgd,eps0.03_default,110,96,37,71,0.0005871885880795784,0.008484034375740662,87.27272727272727,33.63636363636363,73.95833333333334,64.37875744340357,81.69422215628234
CPU,4,apgdt/eps0.03_default,apgdt,eps0.03_default,110,96,32,74,0.0006087479791444845,0.008560497600777315,87.27272727272727,29.09090909090909,77.08333333333334,67.73130351588962,84.3511951620162
CPU,4,autoattack/eps0.03_standard,autoattack,eps0.03_standard,110,96,29,78,0.0006361058739870819,0.009235931781206061,87.27272727272727,26.36363636363636,81.25,72.29756303456031,87.7976277476387
CPU,4,ead/package_default,ead,package_default,110,96,11,96,0.002564768250819924,0.006967528361432857,87.27272727272727,10.0,100.0,96.15230525151843,100.00000000000003
CPU,4,ALL/ALL_24,ALL,ALL_24,2640,2304,1129,1385,0.000706825334054841,0.00835128676417279,87.27272727272727,42.765151515151516,60.11284722222222,58.09813693705731,62.09389010673979
CPU,6,fgsm/eps0.005,fgsm,eps0.005,110,91,89,9,0.0001278740393568944,0.0020422019424255135,82.72727272727273,80.9090909090909,9.89010989010989,5.290804058720921,17.738752591525387
CPU,6,fgsm/eps0.01,fgsm,eps0.01,110,91,85,14,0.00025574622797478456,0.004083815265700849,82.72727272727273,77.27272727272727,15.384615384615385,9.391127768535098,24.18232523099254
CPU,6,fgsm/eps0.03,fgsm,eps0.03,110,91,55,47,0.0007672351933168627,0.012240941013971456,82.72727272727273,50.0,51.64835164835166,41.52385197536545,61.63931692941895
CPU,6,fgsm/eps0.05,fgsm,eps0.05,110,91,36,68,0.0012787254463711417,0.020374225266277742,82.72727272727273,32.72727272727273,74.72527472527473,64.92012891565241,82.52740465611357
CPU,6,bim/eps0.03_default,bim,eps0.03_default,110,91,40,66,0.0007672351811461691,0.011017551319673611,82.72727272727273,36.36363636363637,72.52747252747253,62.58502470283997,80.64495032921346
CPU,6,pgd/eps0.005,pgd,eps0.005,110,91,88,10,0.00012787397969404125,0.001981534104032224,82.72727272727273,80.0,10.989010989010989,6.079407536219415,19.058928383883156
