backend,snr_db,profile,attack,attack_profile,topk,n,n_clean_correct,n_attack_success,n_recovered,n_defended_correct,n_retained,n_retained_nodef,n_clean_topk_correct,n_clean_degraded,recovery_pct,recovery_ci95_lo_pct,recovery_ci95_hi_pct,defended_acc_pct,retention_pct,retention_nodef_pct,retention_gain_pp,clean_topk_acc_pct,clean_degradation_pct
CPU,16,deepfool/package_default,deepfool,package_default,10,110,94,93,36,40,36,1,40,56,38.70967741935484,29.4458994149874,48.869204837730436,36.36363636363637,38.297872340425535,1.0638297872340425,37.23404255319149,36.36363636363637,59.57446808510638
CPU,16,deepfool/package_default,deepfool,package_default,20,110,94,93,56,63,57,1,85,12,60.215053763440864,50.05293284970952,69.56673473116483,57.27272727272727,60.63829787234043,1.0638297872340425,59.57446808510639,77.27272727272727,12.76595744680851
CPU,16,deepfool/package_default,deepfool,package_default,30,110,94,93,63,68,64,1,87,9,67.74193548387096,57.70106827427646,76.37519647145264,61.81818181818181,68.08510638297872,1.0638297872340425,67.02127659574468,79.0909090909091,9.574468085106384
CPU,16,deepfool/package_default,deepfool,package_default,40,110,94,93,60,66,61,1,92,2,64.51612903225806,54.39330656324219,73.48727368326344,60.0,64.8936170212766,1.0638297872340425,63.829787234042556,83.63636363636363,2.127659574468085
CPU,16,fab/eps0.005,fab,eps0.005,10,110,94,11,5,40,38,83,40,56,45.45454545454545,21.270957543988047,71.99122443100117,36.36363636363637,40.42553191489361,88.29787234042553,-47.87234042553192,36.36363636363637,59.57446808510638
CPU,16,fab/eps0.005,fab,eps0.005,20,110,94,11,6,84,81,83,85,12,54.54545454545454,28.008775568998818,78.72904245601195,76.36363636363637,86.17021276595744,88.29787234042553,-2.1276595744680833,77.27272727272727,12.76595744680851
CPU,16,fab/eps0.005,fab,eps0.005,30,110,94,11,7,88,85,83,87,9,63.63636363636363,35.37967768916373,84.83377638586862,80.0,90.42553191489363,88.29787234042553,2.1276595744680975,79.0909090909091,9.574468085106384
CPU,16,fab/eps0.005,fab,eps0.005,40,110,94,11,7,91,90,83,92,2,63.63636363636363,35.37967768916373,84.83377638586862,82.72727272727273,95.74468085106383,88.29787234042553,7.446808510638306,83.63636363636363,2.127659574468085
CPU,16,fab/eps0.01,fab,eps0.01,10,110,94,20,12,40,38,74,40,56,60.0,38.65779423152061,78.11960325858074,36.36363636363637,40.42553191489361,78.72340425531915,-38.29787234042554,36.36363636363637,59.57446808510638
CPU,16,fab/eps0.01,fab,eps0.01,20,110,94,20,12,82,79,74,85,12,60.0,38.65779423152061,78.11960325858074,74.54545454545455,84.04255319148936,78.72340425531915,5.319148936170208,77.27272727272727,12.76595744680851
CPU,16,fab/eps0.01,fab,eps0.01,30,110,94,20,13,87,83,74,87,9,65.0,43.285051021946465,81.88104521320554,79.0909090909091,88.29787234042553,78.72340425531915,9.574468085106375,79.0909090909091,9.574468085106384
CPU,16,fab/eps0.01,fab,eps0.01,40,110,94,20,14,90,88,74,92,2,70.0,48.102322377102055,85.4524726031006,81.81818181818183,93.61702127659575,78.72340425531915,14.893617021276597,83.63636363636363,2.127659574468085
CPU,16,fab/eps0.03,fab,eps0.03,10,110,94,64,27,40,37,30,40,56,42.1875,30.869593661451578,54.39018794747275,36.36363636363637,39.361702127659576,31.914893617021278,7.446808510638299,36.36363636363637,59.57446808510638
CPU,16,fab/eps0.03,fab,eps0.03,20,110,94,64,36,72,66,30,85,12,56.25,44.08599177828787,67.70618293457267,65.45454545454545,70.2127659574468,31.914893617021278,38.29787234042553,77.27272727272727,12.76595744680851
