backend,profile,attack,attack_profile,topk,n,n_clean_correct,n_attack_success,n_recovered,n_defended_correct,n_retained,n_retained_nodef,n_clean_topk_correct,n_clean_degraded,recovery_pct,recovery_ci95_lo_pct,recovery_ci95_hi_pct,defended_acc_pct,retention_pct,retention_nodef_pct,retention_gain_pp,clean_topk_acc_pct,clean_degradation_pct
NPU,fgsm/eps0.005,fgsm,eps0.005,30,2200,1202,179,56,998,861,1023,1029,296,31.28491620111732,24.94597408935825,38.41028619276573,45.36363636363636,71.630615640599,85.108153078203,-13.477537437604,46.77272727272727,24.625623960066555
NPU,fgsm/eps0.005,fgsm,eps0.005,40,2200,1202,179,65,1080,972,1023,1137,159,36.312849162011176,29.623822291446,43.57702478055512,49.09090909090909,80.86522462562395,85.108153078203,-4.242928452579051,51.68181818181819,13.227953410981696
NPU,fgsm/eps0.01,fgsm,eps0.01,10,2200,1202,336,102,520,398,866,533,793,30.357142857142854,25.68552445893948,35.47285050163037,23.636363636363637,33.11148086522462,72.04658901830283,-38.935108153078204,24.227272727272727,65.97337770382696
NPU,fgsm/eps0.01,fgsm,eps0.01,20,2200,1202,336,101,833,692,866,946,401,30.059523809523807,25.404740900746624,35.16512458952883,37.86363636363637,57.570715474209656,72.04658901830283,-14.475873544093169,43.0,33.36106489184692
NPU,fgsm/eps0.01,fgsm,eps0.01,30,2200,1202,336,103,925,785,866,1029,296,30.654761904761905,25.96654674424512,35.780337686619134,42.04545454545455,65.30782029950083,72.04658901830283,-6.7387687188019925,46.77272727272727,24.625623960066555
NPU,fgsm/eps0.01,fgsm,eps0.01,40,2200,1202,336,108,1007,876,866,1137,159,32.142857142857146,27.375173536760283,37.31425824557596,45.77272727272727,72.87853577371048,72.04658901830283,0.8319467554076567,51.68181818181819,13.227953410981696
NPU,fgsm/eps0.03,fgsm,eps0.03,10,2200,1202,703,153,503,379,499,533,793,21.763869132290186,18.87140800916898,24.96325027919436,22.863636363636363,31.530782029950082,41.514143094841934,-9.983361064891852,24.227272727272727,65.97337770382696
NPU,fgsm/eps0.03,fgsm,eps0.03,20,2200,1202,703,96,638,490,499,946,401,13.655761024182079,11.314141161270257,16.392434116698677,28.999999999999996,40.765391014975044,41.514143094841934,-0.7487520798668896,43.0,33.36106489184692
NPU,fgsm/eps0.03,fgsm,eps0.03,30,2200,1202,703,97,676,522,499,1029,296,13.79800853485064,11.444655115328917,16.544868987383772,30.727272727272727,43.427620632279535,41.514143094841934,1.9134775374376005,46.77272727272727,24.625623960066555
NPU,fgsm/eps0.03,fgsm,eps0.03,40,2200,1202,703,86,697,550,499,1137,159,12.233285917496444,10.01420273117071,14.862884299360601,31.681818181818183,45.75707154742096,41.514143094841934,4.242928452579029,51.68181818181819,13.227953410981696
NPU,fgsm/eps0.05,fgsm,eps0.05,10,2200,1202,863,153,497,369,339,533,793,17.72885283893395,15.325412714710243,20.418326395180188,22.590909090909093,30.69883527454243,28.20299500831947,2.4958402662229595,24.227272727272727,65.97337770382696
